#gen	min	avg
348	128	179.675
349	128	180.125
350	128	175.3
351	128	177.625
352	128	175.675
353	128	176.4
354	128	176.05
355	128	170.8
356	128	169.0
357	128	175.325
358	128	175.725
359	128	178.225
360	128	178.025
361	128	181.375
362	128	185.6
363	128	176.95
364	128	182.75
365	128	186.35
366	128	174.425
367	128	178.575
368	128	178.075
369	128	177.25
370	128	188.675
371	128	173.9
372	128	175.7
373	128	175.6
374	128	178.35
375	128	182.075
376	128	179.825
377	128	179.725
378	128	176.1
379	128	178.15
380	128	170.275
381	128	178.325
382	128	182.275
383	128	172.625
384	128	177.675
385	128	174.875
386	128	173.425
387	128	182.2
388	128	184.075
389	128	180.45
390	128	174.675
391	128	178.525
392	128	175.15
393	128	178.75
394	128	175.4
395	128	176.825
396	128	171.25
397	128	161.85
398	128	181.775
399	128	170.35
400	128	176.475
401	128	180.6
402	128	175.45
403	128	180.625
404	128	177.325
405	128	177.175
406	128	177.025
407	128	178.35
408	128	177.075
409	128	177.375
410	128	180.75
411	128	168.375
412	128	173.5
413	128	175.3
414	128	183.925
415	128	173.15
416	128	177.075
417	128	173.925
418	128	168.175
419	128	177.975
420	128	183.35
421	128	177.25
422	128	180.275
423	128	173.825
424	128	183.125
425	128	174.35
426	128	173.925
427	128	181.875
428	128	176.7
429	128	180.475
430	128	179.775
431	128	176.65
432	128	176.775
433	128	177.475
434	128	175.5
435	128	176.5
436	128	174.725
437	128	178.0
438	128	168.75
439	128	170.65
440	128	173.825
441	128	180.175
442	128	167.375
443	128	179.225
444	128	177.2
445	128	179.725
446	128	185.9
447	128	178.85
448	128	176.35
449	128	173.75
450	128	180.275
451	128	176.725
452	128	173.625
453	128	170.925
454	128	175.35
455	128	176.475
456	128	173.175
457	128	183.35
458	128	182.725
459	128	177.2
460	128	181.45
461	128	184.275
462	128	174.5
463	128	170.25
464	128	178.15
465	128	175.925
466	128	168.875
467	128	166.25
468	128	171.6
469	128	176.175
470	128	176.55
471	128	181.25
472	128	179.5
473	128	180.175
474	128	175.675
475	128	173.6
476	128	171.125
477	128	175.65
478	128	174.625
479	128	182.575
480	128	178.075
481	128	183.45
482	128	194.45
483	128	177.9
484	128	174.725
485	128	173.075
486	128	177.9
487	128	175.8
488	128	178.925
489	128	176.85
490	128	177.5
491	128	180.2
492	128	171.475
493	128	175.025
494	128	171.275
495	128	179.775
496	128	177.8
497	128	181.975
498	128	178.9
499	128	169.95
500	128	177.425
501	128	172.25
502	128	171.65
503	128	175.5
504	128	178.1
505	128	183.75
506	128	182.625
507	128	178.675
508	128	181.325
509	128	176.05
510	128	184.425
511	128	184.125
512	128	168.325
513	128	171.275
514	128	177.35
515	128	174.15
516	128	175.225
517	128	171.55
518	128	175.55
