#gen	min	avg
348	144	217,75
349	144	212,55
350	144	235,475
351	144	240,9
352	144	226,825
353	144	225,725
354	144	242,125
355	144	247,1
356	144	246,175
357	144	233,225
358	144	221,1
359	144	217,775
360	144	213,8
361	144	209,25
362	144	221,625
363	144	214,5
364	144	214,45
365	144	227,675
366	133	242,175
367	133	237,75
368	133	222,975
369	133	210,75
370	133	213,5
371	133	233,275
372	133	234,4
373	133	233,1
374	133	233,2
375	133	240,9
376	128	229,775
377	128	225,225
378	128	217,175
379	128	232,775
380	128	207,95
381	128	204,775
382	128	217,9
383	128	233,925
384	128	222,6
385	128	222,7
386	128	229,775
387	128	243,525
388	128	238,7
389	128	244,875
390	128	234,85
391	128	230,475
392	128	223,15
393	128	222,05
394	128	208,2
395	128	223,4
396	128	229,95
397	128	230,325
398	128	238,7
399	128	216,15
400	128	218,775
401	128	227,325
402	128	219,9
403	128	204,275
404	128	229,425
405	128	250,125
406	128	237,575
407	128	228,625
408	128	230,525
409	128	223,975
410	128	233,45
411	128	248,7
412	128	247,475
413	128	254,975
414	128	251,125
415	128	255,825
416	128	243,1
417	128	231,225
418	128	226,125
419	128	217,6
420	128	235,825
421	128	237,6
422	128	219,5
423	128	220,625
424	128	227,625
425	128	236,45
426	128	247,8
427	128	237,95
428	128	223,6
429	128	220,45
430	128	217,95
431	128	222,125
432	128	227,3
433	128	214,975
434	128	220,275
435	128	213,85
436	128	240,375
437	128	237,6
438	128	224,325
439	128	210,6
440	128	210,6
441	128	195,875
442	128	202,425
443	128	226,375
444	128	222,35
445	128	236,85
446	128	238,075
447	128	227,1
448	128	224,125
449	128	218,175
450	128	228,775
451	128	233,675
452	128	213,3
453	128	230,475
454	128	231,075
455	128	234,95
456	128	249,825
457	128	229,65
458	128	239,775
459	128	247,55
460	128	247,85
461	128	230,4
462	128	240,125
463	128	228,125
464	128	235,35
465	128	237,35
466	128	228,975
467	128	224,05
468	128	221,55
469	128	229,325
470	128	235,325
471	128	219,975
472	128	220,825
473	128	217,85
474	128	232,4
475	128	227,725
476	128	219,575
477	128	220,525
478	128	222,6
479	128	237,0
480	128	224,875
481	128	213,15
482	128	211,425
483	128	232,8
484	128	218,025
485	128	204,125
486	128	210,375
487	128	221,75
488	128	222,6
489	128	241,3
490	128	231,25
491	128	224,7
492	128	208,55
493	128	228,725
494	128	226,775
495	128	256,675
496	128	236,8
497	128	231,1
498	128	229,25
499	128	222,9
500	128	237,275
501	128	226,85
502	128	216,825
503	128	228,875
504	128	222,525
505	128	224,725
506	128	243,9
507	128	241,0
508	128	219,15
509	128	219,475
510	128	239,3
511	128	226,35
512	128	204,95
513	128	201,95
514	128	212,95
515	128	206,025
516	128	240,4
517	128	231,5
518	128	222,5
519	128	216,225
520	128	222,925
521	128	214,9
522	128	229,1
523	128	225,525
524	128	222,1
525	128	231,0
526	128	217,7
527	128	222,175
528	128	196,725
529	128	210,725
530	128	196,75
531	128	209,55
532	128	206,125
533	128	210,175
534	128	230,95
535	128	227,775
536	128	242,475
537	128	238,275
538	128	238,3
539	128	235,85
540	128	220,35
541	128	211,75
542	128	210,875
543	128	229,875
544	128	229,6
545	128	218,375
546	128	223,5
547	128	209,175
548	128	231,1
549	128	221,675
550	128	228,775
551	128	239,2
552	128	228,975
553	128	226,5
554	128	240,975
555	128	227,6
556	128	226,15
557	128	220,175
558	128	214,05
559	128	233,425
560	128	245,1
561	128	238,3
562	128	216,625
563	128	200,65
564	128	217,65
565	128	203,05
566	128	226,5
567	128	227,475
568	128	225,125
569	128	222,8
570	128	212,925
571	128	212,125
572	128	215,825
573	128	213,35
574	128	215,525
575	128	214,15
576	128	238,425
577	128	229,525
578	128	223,375
579	128	225,175
580	128	235,425
581	128	238,225
582	128	242,025
583	128	234,075
584	128	219,8
585	128	221,775
586	128	228,375
587	128	220,375
588	128	221,45
589	128	241,95
590	128	232,375
591	128	230,7
592	128	251,775
593	128	241,025
594	128	231,5
595	128	223,2
596	128	221,675
597	128	225,025
598	128	234,85
599	128	237,625
600	128	218,0
601	128	218,65
602	128	214,075
603	128	243,55
604	128	240,175
605	128	247,625
606	128	235,625
607	128	232,875
608	128	229,075
609	128	234,125
610	128	239,2
611	128	246,325
612	128	234,925
613	128	236,425
614	128	246,3
615	128	247,475
616	128	238,25
617	128	226,8
618	128	219,675
619	128	224,375
620	128	242,625
621	128	225,05
622	128	231,475
623	128	221,3
624	128	215,125
625	128	221,475
626	128	240,3
627	128	227,85
628	128	242,8
629	128	254,275
630	128	246,175
631	128	232,3
632	128	240,175
633	128	228,775
634	128	225,25
635	128	226,6
636	128	215,3
637	128	226,55
638	128	237,95
639	128	237,475
640	128	224,6
641	128	213,325
642	128	224,6
643	128	227,95
644	128	226,975
645	128	214,825
646	128	218,35
647	128	223,65
648	128	220,25
649	128	230,6
650	128	211,675
651	128	215,1
652	128	228,1
653	128	224,025
654	128	212,375
655	128	215,575
656	128	226,875
657	128	226,525
658	128	225,825
659	128	220,75
660	128	191,2
661	128	188,25
662	128	221,575
663	128	218,45
664	128	207,075
665	128	230,825
666	128	223,625
667	128	206,525
668	128	221,45
669	128	212,225
670	128	216,8
671	128	196,775
672	128	188,2
673	128	183,95
674	128	192,925
675	128	209,575
676	128	220,725
677	128	209,8
678	128	231,35
679	128	215,75
680	128	222,275
681	128	211,8
682	128	210,55
683	128	202,0
684	128	194,75
685	128	183,875
686	128	189,825
687	128	184,5
688	128	193,775
689	128	192,925
690	128	214,975
691	128	215,325
692	128	187,075
693	128	183,575
694	128	188,275
695	128	200,95
696	128	189,0
697	128	205,35
698	128	194,95
699	128	205,9
700	128	202,3
701	128	218,175
702	128	206,725
703	128	209,325
704	128	199,675
705	128	219,825
706	128	235,15
707	128	232,1
708	128	219,825
709	128	221,35
710	128	215,775
711	128	228,55
712	128	219,2
713	128	220,15
714	128	218,325
715	128	210,225
716	128	202,45
717	128	215,7
718	128	227,575
719	128	216,475
720	128	211,1
721	128	217,075
722	128	198,775
723	128	199,75
724	128	218,675
725	128	220,25
726	128	220,825
727	128	211,225
728	128	204,25
729	128	192,325
730	128	181,0
731	128	187,625
732	128	197,775
733	128	186,575
734	128	186,45
735	128	223,6
736	128	227,3
737	128	210,725
738	128	203,825
739	128	200,325
740	128	216,175
741	128	228,4
742	128	241,775
743	128	228,4
744	128	231,95
745	128	228,0
746	128	224,3
747	128	217,65
748	128	216,3
749	128	216,125
750	128	209,725
751	128	206,075
752	128	237,45
753	128	229,325
754	128	220,475
755	128	240,125
756	128	228,425
757	128	234,425
